assembly_fullID_updated,Y1000+_ID,NEW_Tip_ID,Order,Species,Strain_Sequenced,NRRL,CBS,Other,CTH,Total_length,Number_contigs,GC,N50,Ns_per_100_kbp,#_BUSCOs,Complete,Single,Duplicated,Fragmented,Missing,Type strain,Type Species,Y1000+ Project,Genome_Acc,Reads_Acc,Citation Number Reference,Reference,Citation number for Related Pub,Related_Prior_Pub
yHMPu5000035005_lodderomyces_elongisporus_160519.haplomerger2,yHMPu5000035005,Lodderomyces_elongisporus,Serinales,Lodderomyces elongisporus,NRRL YB-4239,NRRL YB-4239,CBS 2605,NA,NA,15210660,1171,36.81,30696,397.71,2091,97.85%,97.71%,0.14%,1.03%,1.12%,Yes,Yes,Yes,JANIWC000000000,SRR16974325,,New Y1000+,134,"Butler G, et al. Evolution of pathogenicity and sexual reproduction in eight Candida genomes. Nature 459, 657–662 (2009)."
yHMPu5000034659_debaryomyces_hansenii_180604,yHMPu5000034659,Debaryomyces_hansenii,Serinales,Debaryomyces hansenii,NRRL Y-7426,NRRL Y-7426,CBS 767,NA,NA,12104652,195,36.31,468708,5.03,2129,99.63%,99.39%,0.23%,0.05%,0.33%,Yes,Yes,Yes,JAKTQS000000000,SRR16974357,,New Y1000+,140,"Dujon B, et al. Genome evolution in yeasts. Nature. 2004 Jul 1;430(6995):35–44."
yHMPu5000034723_candida_glabrata_180604,yHMPu5000034723,Nakaseomyces_glabratus,Saccharomycetales,Nakaseomyces glabratus,NRRL Y-65,NRRL Y-65,CBS 138,NA,NA,12349887,284,38.55,385975,2.96,2120,99.20%,98.27%,0.94%,0.33%,0.47%,Yes,No,Yes,JAKTPX000000000,SRR16974273,,New Y1000+,140,"Dujon B, et al. Genome evolution in yeasts. Nature. 2004 Jul 1;430(6995):35–44."
yHMPu5000040963_lachancea_quebecuensis_200128,yHMPu5000040963,Lachancea_quebecensis,Saccharomycetales,Lachancea quebecensis,CBS 14138,NA,CBS 14138,NA,NA,10438303,221,46.7,558863,26.74,2132,99.77%,99.58%,0.19%,0.09%,0.14%,Yes,No,Yes,JANIJM000000000,SRR16988846,,New Y1000+,142,"Freel KC, et al. Whole-Genome Sequencing and Intraspecific Analysis of the Yeast Species Lachancea quebecensis. Genome Biol Evol. 2016 Jan 5;8(3):733-41. doi: 10.1093/gbe/evv262."
yHMPu5000035666_nakaseomyces_bacillisporus_160613,yHMPu5000035666,Nakaseomyces_bacillisporus,Saccharomycetales,Nakaseomyces bacillisporus,NRRL Y-17846,NRRL Y-17846,CBS 7720,NA,NA,10988332,281,36.84,178172,14.56,2119,99.16%,97.94%,1.22%,0.19%,0.66%,Yes,No,Yes,JAJMDR000000000,SRR16988934,,New Y1000+,143,"Gabaldon T, et al. Comparative genomics of emerging pathogens in the Candida glabrata clade. BMC Genomics. 2013;14:623. "
yHMPu5000026127_nakaseomyces_delphensis_160519,yHMPu5000026127,Nakaseomyces_delphensis,Saccharomycetales,Nakaseomyces delphensis,NRRL Y-2379,NRRL Y-2379,CBS 2170,NA,NA,10889885,212,38.97,113153,22.96,2111,98.78%,97.47%,1.31%,0.51%,0.70%,Yes,Yes,Yes,JAJLWS000000000,SRR16974372,,New Y1000+,143,"Gabaldon T, et al. Comparative genomics of emerging pathogens in the Candida glabrata clade. BMC Genomics. 2013;14:623. "
yHMPu5000034720_candida_nivariensis_180604,yHMPu5000034720,Nakaseomyces_nivariensis,Saccharomycetales,Nakaseomyces nivariensis,NRRL Y-48269,NRRL Y-48269,CBS 9983,NA,NA,11617224,151,36.94,236938,17.22,2118,99.11%,97.75%,1.36%,0.47%,0.42%,Yes,No,Yes,JAJLUA000000000,SRR16974277,,New Y1000+,143,"Gabaldon T, et al. Comparative genomics of emerging pathogens in the Candida glabrata clade. BMC Genomics. 2013;14:623. "
yHMPu5000034725_candida_bracarensis_160928,yHMPu5000034725,Nakaseomyces_bracarensis,Saccharomycetales,Nakaseomyces bracarensis,NRRL Y-48270,NRRL Y-48270,CBS 10154,NA,NA,12338801,233,36.25,205318,28.37,2117,99.06%,97.94%,1.12%,0.42%,0.51%,Yes,No,Yes,JAJLTY000000000,SRR16974271,,New Y1000+,143,"Gabaldon T, et al. Comparative genomics of emerging pathogens in the Candida glabrata clade. BMC Genomics. 2013;14:623. "
yHMPu5000034724_candida_castellii_180604,yHMPu5000034724,Nakaseomyces_castellii,Saccharomycetales,Nakaseomyces castellii,NRRL Y-17070,NRRL Y-17070,CBS 4332,NA,NA,10290725,217,41.01,360322,0.1,2098,98.18%,97.24%,0.94%,0.42%,1.40%,Yes,No,Yes,JAKTPW000000000,SRR16974272,,New Y1000+,143,"Gabaldon T, et al. Comparative genomics of emerging pathogens in the Candida glabrata clade. BMC Genomics. 2013;14:623. "
yHMPu5000034863_zygosaccharomyces_rouxii_180604,yHMPu5000034863,Zygosaccharomyces_rouxii,Saccharomycetales,Zygosaccharomyces rouxii,NRRL Y-229,NRRL Y-229,CBS 732,NA,NA,9795862,266,39.09,170995,0.51,2130,99.67%,99.44%,0.23%,0.14%,0.19%,Yes,Yes,Yes,JAKTPM000000000,SRR16974707,,New Y1000+,146,"Génolevures Consortium, et al. Comparative genomics of protoploid Saccharomycetaceae. Genome Res. 19, 1696–1709 (2009)."
yHMPu5000034678_lachancea_thermotolerans_180604,yHMPu5000034678,Lachancea_thermotolerans,Saccharomycetales,Lachancea thermotolerans,NRRL Y-8284,NRRL Y-8284,CBS 6340,NA,NA,10323486,183,47.26,245251,1.44,2127,99.53%,99.39%,0.14%,0.14%,0.33%,Yes,Yes,Yes,JAJLUO000000000,SRR16974309,,New Y1000+,146,"Génolevures Consortium, et al. Comparative genomics of protoploid Saccharomycetaceae. Genome Res. 2009 Oct;19(10):1696–709."
